player_name,offense_points,defense_points,overall_points,total_seasons,primary_position
Santhosh B.S,1.0802923901046975,20.420415915015315,9.250689826113048,1,"Defender, left corner"
Satish,0.0,13.429644546120443,5.534459444464438,1,"Defender, right corner"
Satpal,0.6296471313422349,45.17470994325206,19.48705448295425,2,"Defender, right corner"
Satywan,0.0,8.203018867924525,3.3354080891752305,1,"Defender, left cover"
Saurabh Nandal,0.28919212467592265,58.65074125046708,25.743995030274004,1,"Defender, left corner"
Selvamani K,17.569151072883773,1.0863059166964464,8.86236346430544,6,Raider
Seong Ryeol Kim,0.5212089810095075,26.732645854059175,11.154477796719434,3,Defender
Shabeer Bappu,19.800860421552034,5.733206847691337,12.009987728448412,7,Raider
Shashank Wankhede,0.0,19.711431943916967,7.992973861577628,1,"Defender, left cover"
Shrikant Jadhav,28.797816329352848,4.3489468742878925,16.96602235462703,5,Raider
Shrikant Tewthia,4.81756196018097,20.746460079436833,11.643856331655613,6,All Rounder
Shubham Ashok Palkar,7.5857031428887165,0.0,3.278183696179877,2,Raider
Shubham Shinde,0.17600518060955703,26.306711070938984,11.406094630700718,2,"Defender, right corner"
Shyam Kumar Sah,2.678881260166286,32.23888253568416,14.924648427102602,3,"Defender, left cover"
Siddharth Sirish Desai,63.47504232608945,1.5630748239523875,35.14803818793001,2,Raider
Sidharth,1.0436982467195914,32.80832257735052,15.221025131796068,1,All Rounder
Simon Kibura,6.293465436505727,3.177606421403571,3.987164063850259,3,Raider
Sinotharan Kanesharajah,7.12766172446891,0.11283758805273097,3.058801351024917,2,Raider
Sombir,0.0,32.429730652002576,14.055903100909434,2,Defender
Somvir,0.2795983839223975,45.76945415985112,19.612032941628648,1,"Defender, left cover"
Somvir Shekhar,0.11146645573835749,41.398246558191936,18.1757009237293,3,"Defender, right cover"
Sonu Jaglan,26.740118812761445,2.828487978149484,13.561860060537814,1,Raider
Sonu Narwal,26.450380289816106,0.0,13.073377048175763,3,Raider
Sudhanshu Tyagi,0.0,12.358743601045994,5.160299608440079,1,"Defender, right cover"
Sukesh Hegde,25.725720371665425,3.2321591524691082,14.641610965673946,7,Raider
Sumit,0.6593075501415815,79.49564871666215,34.77200960699249,1,"Defender, left corner"
Sumit Malik,0.0,29.57021547720909,12.641094320964935,1,"Defender, left corner"
Sumit Singh,11.252024160865346,5.1077648133647,7.519525345789581,3,Raider
Sunil,0.1993318877746328,45.5191314543347,19.719828232701264,6,"Defender, left corner"
Sunil Hanumanthappa,12.626438378694365,0.4513503522109273,5.447917660383797,1,Raider
Sunil Jaipal,14.258662147584921,17.568760834033487,14.424736130316742,4,Raider
Sunil Kumar,0.3262087997759494,51.8695731137156,23.276686749136466,4,Defender
Sunil Siddhgavali,3.18968152113662,30.798978332297043,14.733675323487288,3,Defender
Sunil Subhash Lande,0.0,10.006409632105326,4.0567643948475505,1,"Defender, right corner"
Sunny,8.027510925100698,0.0,3.2652049120456987,1,Raider
Suraj Desai,22.801648910896954,1.7095454424197465,12.189301589565163,1,Raider
Surender Gill,27.313319772638287,12.379034338629943,17.882361698707832,1,Raider
Surender Nada,1.3280687238192344,71.73356137493845,31.815437947362152,5,"Defender, left corner"
Surender Singh,11.379454364044715,21.5542682027023,15.225366688332565,6,Raider
Suresh Kumar,11.100365267037384,0.0,5.632558030934195,1,Raider
Suresu Kumar,9.26320128009168,1.1390283137383945,4.54029563156997,5,Raider
Surinder Singh,2.7785850068420075,44.94882526913983,21.042183622587856,1,Defender
Surjeet Narwal,27.388812555772507,11.666214739317141,18.765642354350224,3,Raider
Sushant Sail,8.40451130779031,0.0,3.7954088591594846,1,Raider
Sushil Gulia,13.680400516516231,0.0,6.122566710671533,1,Raider
Sushil Vijay Bhosle,0.0,29.471676578322803,11.897071715339962,1,"Defender, left cover"
