Unnamed: 0,match_id,match_number,date,start_time,result,player_id_of_the_match,player_name_of_the_match,series_id,series_name,status,toss_winner,toss_selection,venue_id,venue_name,home_team_id,home_team_name,season
61,150,Match 29,2/16/2016,20:00,Patna Pirates beat Bengal Warriors (32-27),197.0,197.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,4,Choice of court :Left,6,"Patliputra Sports Complex, Patna",,Patna Pirates,5
62,151,Match 30,2/16/2016,21:00,Jaipur Pink Panthers beat Telugu Titans (35-26),190.0,190.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,8,Choice of court :Right,6,"Patliputra Sports Complex, Patna",,Jaipur Pink Panthers,5
63,152,Match 31,2/17/2016,20:00,Patna Pirates beat Bengaluru Bulls (36-32),326.0,326.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,1,Choice of court :Left,6,"Patliputra Sports Complex, Patna",,Bengaluru Bulls,7
64,153,Match 32,2/18/2016,20:00,Dabang Delhi beat Bengaluru Bulls (35-21),264.0,264.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,2,Choice of court :Left,6,"Patliputra Sports Complex, Patna",,Dabang Delhi,2
65,154,Match 33,2/18/2016,21:00,Match Tied,326.0,326.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,6,Choice of court :Right,6,"Patliputra Sports Complex, Patna",,,6
66,155,Match 34,2/19/2016,20:00,Bengal Warriors beat Telugu Titans (32-28),12.0,12.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,8,Choice of court :Left,6,"Patliputra Sports Complex, Patna",,Telugu Titans,5
67,156,Match 35,2/19/2016,21:00,U Mumba beat Patna Pirates (34-28),326.0,326.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,5,Choice of court :Left,6,"Patliputra Sports Complex, Patna",,Patna Pirates,6
68,157,Match 36,2/20/2016,20:00,Jaipur Pink Panthers beat Bengaluru Bulls (30-21),52.0,52.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,1,Choice of court :Right,3,"Sawai Mansingh Stadium, Jaipur",,Bengaluru Bulls,6
69,158,Match 37,2/20/2016,21:00,Puneri Paltan beat Dabang Delhi (32-22),41.0,41.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,2,Choice of court :Right,3,"Sawai Mansingh Stadium, Jaipur",,Puneri Paltan,2
70,159,Match 38,2/21/2016,20:00,Telugu Titans beat Bengaluru Bulls (40-22),111.0,111.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,1,Choice of court :Left,3,"Sawai Mansingh Stadium, Jaipur",,Telugu Titans,7
71,16,Match 16,8/3/2014,21:00,Puneri Paltan beat Bengaluru Bulls (33 - 31),124.0,124.0,1,"Pro Kabaddi League Season 1, 2014",Full Time,7,Choice of court : Left,2,"Thyagaraj Sports Complex, Delhi",,Puneri Paltan,6
72,160,Match 39,2/21/2016,21:00,Puneri Paltan beat Jaipur Pink Panthers (33-18),26.0,26.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,3,Choice of court :Left,3,"Sawai Mansingh Stadium, Jaipur",,Puneri Paltan,5
73,161,Match 40,2/22/2016,20:00,Bengal Warriors beat Jaipur Pink Panthers (34-18),12.0,12.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,3,Choice of court :Right,3,"Sawai Mansingh Stadium, Jaipur",,Jaipur Pink Panthers,5
74,162,Match 41,2/23/2016,20:00,U Mumba beat Bengal Warriors (30-17),94.0,94.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,4,Choice of court :Left,3,"Sawai Mansingh Stadium, Jaipur",,Bengal Warriors,1
75,163,Match 42,2/23/2016,21:00,Patna Pirates beat Jaipur Pink Panthers (47-24),326.0,326.0,3,"Pro Kabaddi League Season 3, 2016",Full Time,3,Choice of court :Left,3,"Sawai Mansingh Stadium, Jaipur",,Patna Pirates,6
