Player Name,Season,Team,do_or_die,high_5s,raid_points,raidpoints,successful_raids,successful_tackles,super_10s,super_raids,super_takels,tackle_points,total_points
Babu M,5,Haryana Steelers,0,0,0,0,0,2,0,0,0,1,2
Bajirao Hodage,1,Bengal Warriors,0,0,0,0,0,9,0,0,2,1,11
Bajirao Hodage,2,Bengal Warriors,0,0,0,0,0,13,0,0,0,1,13
Bajirao Hodage,3,Bengal Warriors,0,1,0,0,0,36,0,0,1,2,37
Bajirao Hodage,4,Patna Pirates,0,1,0,0,0,20,0,0,2,1,22
Bajirao Hodage,5,Dabang Delhi K.C.,0,0,0,0,0,11,0,0,0,0,11
Bajirao Hodage,6,Jaipur Pink Panthers,0,0,0,0,0,1,0,0,0,0,1
Balbir Singh,1,Jaipur Pink Panthers,2,0,1,9,7,0,0,0,0,0,9
Balbir Singh,2,Jaipur Pink Panthers,0,0,0,1,0,0,0,0,0,0,1
Baldev Singh,6,Bengal Warriors,0,1,0,1,0,24,0,0,3,1,28
Baldev Singh,7,Bengal Warriors,0,5,0,0,0,39,0,0,5,2,44
Balram,7,Dabang Delhi K.C.,2,0,0,2,1,0,0,0,0,0,2
Banty,7,Bengaluru Bulls,1,0,1,9,7,2,0,0,0,0,11
Bhanu Pratap Tomar,6,U.P. Yoddha,1,0,1,9,6,0,0,0,0,0,9
Bhavani Rajput,5,Tamil Thalaivas,1,0,0,3,1,0,0,0,0,0,3
Bhupender Singh,2,U Mumba,11,1,2,22,18,8,0,1,0,0,30
Bhupender Singh,3,U Mumba,10,0,1,11,8,1,0,0,0,0,12
Bhupender Singh,4,Dabang Delhi K.C.,0,0,0,0,0,0,0,0,0,0,0
Bhupender Singh,5,Bengal Warriors,7,0,1,28,16,0,0,2,0,0,28
Bhupender Singh,6,Bengal Warriors,6,0,2,10,6,2,0,1,1,0,13
Bhuvneshwar Gaur,6,Haryana Steelers,0,0,1,6,3,0,0,0,0,0,6
C Kalai Arasan,6,Gujarat Fortunegiants,0,0,0,0,0,0,0,0,0,0,0
C Manoj Kumar,6,Telugu Titans,1,0,1,10,7,4,0,0,0,0,14
C. Arun,2,Jaipur Pink Panthers,0,0,0,0,0,10,0,0,1,1,11
C. Arun,3,Jaipur Pink Panthers,0,1,0,1,1,12,0,0,5,1,18
C. Arun,4,Bengal Warriors,0,0,0,0,0,14,0,0,1,1,15
C. Arun,5,Tamil Thalaivas,0,1,0,1,0,30,0,0,5,1,36
C. Arun,6,Tamil Thalaivas,0,0,0,0,0,8,0,0,0,0,8
C. Arun,7,Telugu Titans,0,1,0,2,1,15,0,0,3,1,20
CPO Surjeet Singh,3,Dabang Delhi K.C.,6,0,5,68,54,0,5,0,0,0,68
CPO Surjeet Singh,4,Patna Pirates,5,0,3,33,27,4,0,0,0,0,37
CPO Surjeet Singh,5,Haryana Steelers,4,0,3,59,47,4,1,1,0,0,63
CPO Surjeet Singh,6,Tamil Thalaivas,4,0,1,16,10,0,0,1,0,0,16
Chand Singh,7,Haryana Steelers,0,0,0,1,1,3,0,0,1,1,5
Chandran Ranjit,1,Telugu Titans,0,0,1,6,4,0,0,0,0,0,6
Chandran Ranjit,2,Telugu Titans,0,0,0,0,0,1,0,0,0,0,1
Chandran Ranjit,5,Gujarat Fortunegiants,13,0,4,51,43,0,1,3,0,0,51
Chandran Ranjit,6,Dabang Delhi K.C.,16,0,6,153,127,4,3,3,1,0,158
Chandran Ranjit,7,Dabang Delhi K.C.,7,0,5,69,54,3,1,3,1,0,73
D. Gopu,1,Telugu Titans,0,0,0,4,4,20,0,0,3,1,27
D. Gopu,2,Telugu Titans,0,0,0,0,0,9,0,0,0,1,9
D. Gopu,3,Telugu Titans,0,0,0,0,0,1,0,0,0,0,1
D. Gopu,4,Dabang Delhi K.C.,0,1,0,0,0,5,0,0,2,1,7
D. Gopu,6,Tamil Thalaivas,0,0,0,0,0,5,0,0,2,1,7
D. Pradap,5,Tamil Thalaivas,0,0,0,9,6,19,0,0,1,1,29
D. Pradap,6,Tamil Thalaivas,4,0,1,9,5,12,0,0,1,1,22
D. Suresh Kumar,1,Patna Pirates,0,4,0,0,0,24,0,0,4,2,28
D. Suresh Kumar,2,Patna Pirates,0,2,0,0,0,26,0,0,4,1,30
D. Suresh Kumar,3,Patna Pirates,0,0,0,0,0,16,0,0,2,1,18
D. Suresh Kumar,4,Dabang Delhi K.C.,0,0,0,0,0,19,0,0,0,1,19
D. Suresh Kumar,5,U Mumba,0,0,0,0,0,6,0,0,2,1,8
Dadaso Balaso Awad,1,Dabang Delhi K.C.,0,0,0,0,0,4,0,0,1,1,5
Dadaso Balaso Awad,2,Dabang Delhi K.C.,2,0,0,5,4,10,0,0,2,1,17
Darshan J.,5,Tamil Thalaivas,0,1,0,1,0,39,0,0,1,2,41
Darshan J.,6,Tamil Thalaivas,0,0,0,0,0,6,0,0,0,0,6
Darshan Kadian,3,Patna Pirates,0,0,0,0,0,2,0,0,0,1,2
Darshan Kadian,5,U Mumba,10,0,2,33,24,4,0,1,3,0,40
Darshan Kadian,6,U Mumba,14,0,3,49,38,1,1,1,0,0,50
Darshan Kadian,7,Puneri Paltan,0,0,0,2,1,0,0,0,0,0,2
David Shilisia J Mosambayi,5,Haryana Steelers,0,0,1,2,1,0,0,0,0,0,2
David Shilisia J Mosambayi,6,Jaipur Pink Panthers,0,0,1,4,1,0,0,0,0,0,4
Deepak Dhull,2,Bengal Warriors,0,1,0,1,0,10,0,0,1,1,12
Deepak Dhull,3,Bengal Warriors,0,0,0,0,0,1,0,0,0,0,1
Deepak Kumar,2,Bengal Warriors,0,1,0,0,0,4,0,0,1,1,5
Deepak Kumar,3,Bengal Warriors,0,0,0,0,0,3,0,0,1,1,4
Deepak Kumar Dahiya,1,Bengaluru Bulls,9,0,2,19,15,2,0,0,0,0,21
Deepak Kumar Dahiya,2,Bengaluru Bulls,4,0,3,6,3,0,0,0,0,0,6
Deepak Kumar Dahiya,3,Bengaluru Bulls,20,0,3,37,29,0,0,3,0,0,37
Deepak Kumar Dahiya,4,Bengaluru Bulls,5,0,1,12,8,1,0,0,0,0,13
Deepak Kumar Dahiya,5,Haryana Steelers,38,0,4,76,61,2,1,3,0,0,78
Deepak Kumar Dahiya,6,Puneri Paltan,3,0,2,31,26,2,1,1,1,0,34
Deepak Kumar Rathee,3,Bengaluru Bulls,5,0,0,6,4,11,0,1,0,0,17
Deepak Kumar Rathee,5,Haryana Steelers,1,0,0,3,3,3,0,0,1,0,7
Deepak Narwal,2,Patna Pirates,15,0,3,57,45,4,0,1,0,0,61
