season,do_or_die_points,player_name,team_name,player_id_0,match_played_0,position_id_0,position_name_0,high_5s,player_id_1,match_played_1,position_id_1,position_name_1,avg_raid_points,player_id_2,match_played_2,position_id_2,position_name_2,raid_points,player_id_3,match_played_3,position_id_3,position_name_3,successful_raids,player_id_4,match_played_4,position_id_4,position_name_4,successful_tackles,player_id_5,match_played_5,position_id_5,position_name_5,super_10s,player_id_6,match_played_6,position_id_6,position_name_6,super_raids,player_id_7,match_played_7,position_id_7,position_name_7,super_tackles,player_id_8,match_played_8,position_id_8,position_name_8,tackle_points,player_id_9,match_played_9,position_id_9,position_name_9,total_points,player_id,match_played,position_id,position_name,z_score_do_or_die_points,z_score_high_5s,z_score_avg_raid_points,z_score_raid_points,z_score_successful_raids,z_score_successful_tackles,z_score_super_10s,z_score_super_raids,z_score_super_tackles,z_score_tackle_points,z_score_total_points
1,3.0,Shrikant Tewthia,Dabang Delhi K.C.,107.0,14.0,1.0,All Rounder,0.0,,,,,2.93,107.0,14.0,1.0,All Rounder,41.0,107.0,14.0,1.0,All Rounder,37.0,107.0,14.0,1.0,All Rounder,8.0,107.0,14.0,1.0,All Rounder,1.0,107.0,14.0,1.0,All Rounder,0.0,,,,,1.0,107.0,14.0,1.0,All Rounder,0.64,107.0,14.0,1.0,All Rounder,50.0,107.0,14.0,1.0,All Rounder,-0.1859156278121332,-0.40394471049369335,0.5567337761826727,0.48298431144419923,0.6229586170611816,-0.19215773280128634,0.27216391107340704,-0.4081870375223144,-0.0018730655884913543,-0.25544344739487285,0.41275656436661656
1,8.0,Surjeet Narwal,Dabang Delhi K.C.,118.0,14.0,8.0,Raider,0.0,,,,,8.07,118.0,14.0,8.0,Raider,113.0,118.0,14.0,8.0,Raider,98.0,118.0,14.0,8.0,Raider,5.0,118.0,14.0,8.0,Raider,6.0,118.0,14.0,8.0,Raider,2.0,118.0,14.0,8.0,Raider,2.0,118.0,14.0,8.0,Raider,0.5,118.0,14.0,8.0,Raider,120.0,118.0,14.0,8.0,Raider,0.44651741451372023,-0.40394471049369335,2.7871132738453017,2.2663999660141094,2.506583138912408,-0.40082479194183807,3.098269977573028,0.9454138481968443,0.6399640760678816,-0.4046214256008058,2.115655450493307
1,0.0,Takamitsu Kono,Dabang Delhi K.C.,,,,,0.0,,,,,0.0,,,,,1.0,9.0,1.0,1.0,All Rounder,1.0,9.0,1.0,1.0,All Rounder,1.0,9.0,1.0,1.0,All Rounder,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,2.0,9.0,1.0,1.0,All Rounder,-0.5653754532076453,-0.40394471049369335,-0.7146693226794874,-0.507802163316862,-0.48868864173626336,-0.6790475374625736,-0.2930573022265171,-0.4081870375223144,-0.6437102072448644,-0.9373999191934232,-0.7549455289773996
1,0.0,Atif Waheed,Telugu Titans,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,17.0,3.0,1.0,All Rounder,0.0,,,,,0.0,,,,,0.0,,,,,0.33,17.0,3.0,1.0,All Rounder,1.0,17.0,3.0,1.0,All Rounder,-0.5653754532076453,-0.40394471049369335,-0.7146693226794874,-0.5325718251858886,-0.5195677322584146,-0.6790475374625736,-0.2930573022265171,-0.4081870375223144,-0.6437102072448644,-0.5857661134222958,-0.7792726559220666
1,0.0,Chandran Ranjit,Telugu Titans,,,,,0.0,,,,,1.0,36.0,6.0,8.0,Raider,6.0,36.0,6.0,8.0,Raider,4.0,36.0,6.0,8.0,Raider,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,36.0,6.0,8.0,Raider,6.0,36.0,6.0,8.0,Raider,-0.5653754532076453,-0.40394471049369335,-0.2807433503715829,-0.3839538539717294,-0.39605137016980957,-0.7486032238427576,-0.2930573022265171,-0.4081870375223144,-0.6437102072448644,-0.9373999191934232,-0.6576370211987316
1,0.0,D. Gopu,Telugu Titans,,,,,0.0,,,,,0.5,152.0,15.0,10.0,"Defender, right and left corner",4.0,152.0,15.0,10.0,"Defender, right and left corner",4.0,152.0,15.0,10.0,"Defender, right and left corner",20.0,152.0,15.0,10.0,"Defender, right and left corner",0.0,,,,,0.0,,,,,3.0,152.0,15.0,10.0,"Defender, right and left corner",1.53,152.0,15.0,10.0,"Defender, right and left corner",27.0,152.0,15.0,10.0,"Defender, right and left corner",-0.5653754532076453,-0.40394471049369335,-0.49770633652553514,-0.43349317770978246,-0.39605137016980957,0.6425105037609206,-0.2930573022265171,-0.4081870375223144,1.2818012177242548,0.6929022711999864,-0.14676735536072452
1,8.0,Deepak Niwas Hooda,Telugu Titans,41.0,14.0,1.0,All Rounder,0.0,,,,,6.21,41.0,14.0,1.0,All Rounder,87.0,41.0,14.0,1.0,All Rounder,72.0,41.0,14.0,1.0,All Rounder,2.0,41.0,14.0,1.0,All Rounder,3.0,41.0,14.0,1.0,All Rounder,3.0,41.0,14.0,1.0,All Rounder,0.0,,,,,0.14,41.0,14.0,1.0,All Rounder,89.0,41.0,14.0,1.0,All Rounder,0.44651741451372023,-0.40394471049369335,1.9800109653525992,1.6223887574194198,1.7037267853364755,-0.6094918510823898,1.4026063376732554,1.6222142910564237,-0.6437102072448644,-0.7882219409874903,1.3615145152086296
1,0.0,Kiran A,Telugu Titans,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,149.0,4.0,9.0,Defender,0.0,,,,,-0.5653754532076453,-0.40394471049369335,-0.7146693226794874,-0.5325718251858886,-0.5195677322584146,-0.7486032238427576,-0.2930573022265171,-0.4081870375223144,-0.6437102072448644,-0.9373999191934232,-0.8035997828667336
1,0.0,Prashanth Kumar Rai,Telugu Titans,,,,,0.0,,,,,0.71,155.0,7.0,8.0,Raider,5.0,155.0,7.0,8.0,Raider,5.0,155.0,7.0,8.0,Raider,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,155.0,7.0,8.0,Raider,5.0,155.0,7.0,8.0,Raider,-0.5653754532076453,-0.40394471049369335,-0.4065818823408752,-0.40872351584075595,-0.36517227964765836,-0.7486032238427576,-0.2930573022265171,-0.4081870375223144,-0.6437102072448644,-0.9373999191934232,-0.6819641481433986
1,8.0,Rahul Chaudhari,Telugu Titans,81.0,14.0,8.0,Raider,0.0,,,,,10.79,81.0,14.0,8.0,Raider,151.0,81.0,14.0,8.0,Raider,122.0,81.0,14.0,8.0,Raider,9.0,81.0,14.0,8.0,Raider,8.0,81.0,14.0,8.0,Raider,2.0,81.0,14.0,8.0,Raider,1.0,81.0,14.0,8.0,Raider,0.71,81.0,14.0,8.0,Raider,161.0,81.0,14.0,8.0,Raider,0.44651741451372023,-0.40394471049369335,3.967391918522801,3.207647117037118,3.2476813114440377,-0.12260204642110242,4.228712404172876,0.9454138481968443,-0.0018730655884913543,-0.18085445829190644,3.113067655224654
1,0.0,Rajaguru Subramanian,Telugu Titans,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,18.0,84.0,14.0,7.0,"Defender, right cover",0.0,,,,,0.0,,,,,1.0,84.0,14.0,7.0,"Defender, right cover",1.36,84.0,14.0,7.0,"Defender, right cover",19.0,84.0,14.0,7.0,"Defender, right cover",-0.5653754532076453,-0.40394471049369335,-0.7146693226794874,-0.5325718251858886,-0.5195677322584146,0.5033991310005527,-0.2930573022265171,-0.4081870375223144,-0.0018730655884913543,0.5117575833784965,-0.34138437091806056
1,0.0,Rupesh Tomar,Telugu Titans,,,,,0.0,,,,,0.0,,,,,1.0,97.0,5.0,1.0,All Rounder,1.0,97.0,5.0,1.0,All Rounder,3.0,97.0,5.0,1.0,All Rounder,0.0,,,,,0.0,,,,,1.0,97.0,5.0,1.0,All Rounder,0.8,97.0,5.0,1.0,All Rounder,5.0,97.0,5.0,1.0,All Rounder,-0.5653754532076453,-0.40394471049369335,-0.7146693226794874,-0.507802163316862,-0.48868864173626336,-0.5399361647022058,-0.2930573022265171,-0.4081870375223144,-0.0018730655884913543,-0.08495432944523519,-0.6819641481433986
